subject,awareness,variance_mean,peak_to_peak_mean
10,Seen,2.2870272288710726e-11,2.2286954299770126e-05
10,Seen,2.5744267751374176e-11,2.4110080781569183e-05
10,Unseen,2.208396831121587e-11,2.1599917068548922e-05
10,Seen,3.0193656704679234e-11,2.690422939345423e-05
10,Unseen,3.067604653012018e-11,2.4589584863514032e-05
10,Unseen,3.184345918948273e-11,2.5337961111944986e-05
10,Unseen,2.2393901760150383e-11,2.1659478274402152e-05
10,Unseen,3.487018673013874e-11,2.8715049244396177e-05
10,Unseen,3.292767784340742e-11,2.6751053283546434e-05
10,Unseen,2.220219665701469e-11,2.1761997291019414e-05
10,Seen,3.2098180002083307e-11,2.4480018844670768e-05
10,Unseen,3.128805480564451e-11,2.7657731662331022e-05
10,Unseen,3.322516077875237e-11,2.7472380503757938e-05
10,Unseen,3.0947563491564825e-11,2.695818466937918e-05
10,Seen,3.3869442681339115e-11,2.6660732188297587e-05
10,Seen,3.2646787345439844e-11,2.6896128987115498e-05
10,Unseen,3.399414308741857e-11,2.8131431892207946e-05
10,Unseen,2.3835882859353967e-11,2.355910355271865e-05
10,Seen,4.7765942333652176e-11,3.210881229103305e-05
10,Unseen,4.224319925975352e-11,2.9631723536798276e-05
10,Seen,3.843128447260617e-11,2.8561503543901657e-05
10,Seen,6.938550166882579e-11,3.777671844439001e-05
10,Seen,3.643763369380942e-11,2.7651262651561457e-05
10,Unseen,4.676403437246347e-11,3.300989924099473e-05
10,Seen,3.757531315245076e-11,2.9931834119946703e-05
10,Seen,4.647289346147451e-11,3.328265168000481e-05
10,Seen,4.992877000973044e-11,3.1978076849547746e-05
10,Unseen,3.5535333698108237e-11,2.8613627055914173e-05
10,Unseen,2.9135753438864364e-11,2.6707455334554878e-05
10,Unseen,3.594039671867573e-11,2.9780923432788582e-05
10,Unseen,3.766428911327353e-11,2.90449920085403e-05
10,Unseen,3.081427369578691e-11,2.6833287707161516e-05
10,Seen,3.244681439379255e-11,2.8041169464067018e-05
10,Seen,2.509557665492304e-11,2.2975850094197356e-05
10,Unseen,2.18076588055024e-11,2.301546277540751e-05
10,Seen,3.214915660279711e-11,2.4845028855307612e-05
10,Seen,2.4896213662010345e-11,2.395459142196191e-05
10,Seen,4.97284746708476e-11,3.54333720763395e-05
10,Seen,2.8170330145744608e-11,2.4347411288819323e-05
10,Seen,9.723094105097312e-11,4.078683490237128e-05
10,Seen,2.485049376985058e-11,2.3363517345868513e-05
10,Unseen,2.2309640162301742e-11,2.2617342702900712e-05
10,Seen,3.305156977966189e-11,2.7807154941957515e-05
10,Unseen,5.774089678144733e-11,3.719777856424046e-05
10,Unseen,6.109197953475168e-11,3.865182119380706e-05
10,Seen,4.558954351705066e-11,3.145096300236742e-05
10,Seen,6.542003251732325e-11,3.773643899402896e-05
10,Seen,5.196890574682161e-11,3.660936160945774e-05
10,Seen,5.084018082222916e-11,3.4987136807328245e-05
10,Seen,5.937985085322402e-11,3.627806201024756e-05
10,Seen,5.1149502879628066e-11,3.326432459797706e-05
