subject,trial_index,event_name,awareness,perm_entropy_mean,lz_complexity_mean
10,370,Present/Seen/Left,Seen,0.9545515885749914,0.7731811001854602
10,371,Present/Seen/Right,Seen,0.9690427444705844,0.8064927575630649
10,372,Present/Seen/Left,Seen,0.9647541329053977,0.8485706405663553
10,374,Present/Seen/Right,Seen,0.9813686251963717,0.7135707659307988
10,376,Present/Seen/Right,Seen,0.9720749925382779,0.8345446795652586
10,377,Present/Unseen/Left,Unseen,0.983461633655438,0.9327264065729359
10,378,Present/Seen/Right,Seen,0.9846669606141539,0.9248368035098192
10,380,Present/Seen/Left,Seen,0.9863196251901168,0.8021096447502221
10,381,Present/Seen/Left,Seen,0.9792823959618792,0.8941550138199198
10,383,Present/Seen/Right,Seen,0.9767884197469351,0.8669797143802949
10,385,Present/Seen/Right,Seen,0.9818077278491968,0.9274666711975249
10,386,Present/Unseen/Left,Unseen,0.9878336023631609,0.9511354803868756
10,388,Present/Seen/Right,Seen,0.9828795302248962,0.8853887881942344
10,389,Present/Seen/Left,Seen,0.9869628909201208,0.9721744218885209
10,391,Present/Seen/Right,Seen,0.9849336536643027,0.987077005452186
10,392,Present/Seen/Left,Seen,0.9828183305971125,0.8652264692551578
10,393,Present/Seen/Left,Seen,0.9861625472201078,0.9336030291355046
10,394,Present/Seen/Right,Seen,0.986520147955577,0.872239449755706
10,396,Present/Unseen/Right,Unseen,0.9727587840977069,0.8696095820680004
10,399,Present/Seen/Right,Seen,0.9865178411402127,0.9292199163226618
10,400,Present/Unseen/Left,Unseen,0.9830468883614283,0.9099342199461538
10,401,Present/Unseen/Left,Unseen,0.9820286772349515,0.8818822979439601
10,403,Present/Unseen/Right,Unseen,0.9843724411116903,0.9835705152019117
10,404,Present/Unseen/Right,Unseen,0.9857798847223659,0.9853237603270489
10,405,Present/Seen/Left,Seen,0.9887842880258977,0.874869317443412
10,407,Present/Seen/Left,Seen,0.977468210186244,0.8441875277535124
10,409,Present/Unseen/Right,Unseen,0.9712016001207537,0.8319148118775531
10,410,Present/Seen/Right,Seen,0.9830499958890893,0.8792524302562547
10,411,Present/Seen/Left,Seen,0.9838000750599628,0.899414749195331
10,412,Present/Seen/Left,Seen,0.9852851836645838,0.8871420333193714
10,414,Present/Unseen/Right,Unseen,0.9843245607570058,0.956395215762287
10,415,Present/Seen/Right,Seen,0.9846539161642173,0.9949666085153032
10,418,Present/Unseen/Left,Unseen,0.9817399592513792,0.9274666711975248
10,419,Present/Unseen/Left,Unseen,0.9799957539184765,0.7915901739993996
10,420,Present/Unseen/Right,Unseen,0.9662404402071815,0.7968499093748109
10,423,Present/Unseen/Right,Unseen,0.985651165744617,0.8547069985043351
10,424,Present/Seen/Left,Seen,0.9866444370621035,0.9458757450114641
10,425,Present/Unseen/Left,Unseen,0.9828363418321878,0.9476289901366013
10,426,Present/Seen/Right,Seen,0.9790783663338456,0.9397393870734844
10,427,Present/Seen/Right,Seen,0.9825787381381273,0.9844471377644805
10,428,Present/Unseen/Left,Unseen,0.9816592051618511,0.8915251461322142
10,430,Present/Seen/Left,Seen,0.9720162289971754,0.7424993104955608
10,432,Present/Seen/Right,Seen,0.9860859649389885,0.9160705778841338
10,435,Present/Seen/Left,Seen,0.9739825210459021,0.8888952784445086
10,436,Present/Seen/Left,Seen,0.9834898777941977,0.8362979246903955
10,437,Present/Unseen/Right,Unseen,0.9849839778592494,0.9336030291355045
10,438,Present/Seen/Right,Seen,0.9738290898495147,0.7784408355608714
10,439,Present/Seen/Right,Seen,0.9836222756542035,0.934479651698073
10,440,Present/Unseen/Left,Unseen,0.9857238643883073,0.8520771308166295
10,443,Present/Seen/Left,Seen,0.9704145990198744,0.8073693801256335
10,444,Present/Seen/Left,Seen,0.9697222685006806,0.7451291781832666
10,445,Present/Unseen/Left,Unseen,0.9854444575790916,0.9300965388852303
10,446,Present/Seen/Right,Seen,0.9763935366873633,0.8678563369428633
10,449,Present/Unseen/Right,Unseen,0.9846939091483213,0.969544554200815
10,452,Present/Seen/Right,Seen,0.9829402372069781,0.9528887255120126
10,453,Present/Seen/Left,Seen,0.9847309617628679,0.8941550138199198
